"Notes"	"County"	"County Code"	Births
	"Baldwin County, AL"	"01003"	2109
	"Calhoun County, AL"	"01015"	1295
	"Etowah County, AL"	"01055"	1148
	"Jefferson County, AL"	"01073"	9027
	"Lee County, AL"	"01081"	1778
	"Madison County, AL"	"01089"	3926
	"Mobile County, AL"	"01097"	5495
	"Montgomery County, AL"	"01101"	3080
	"Morgan County, AL"	"01103"	1366
	"Shelby County, AL"	"01117"	2431
	"Tuscaloosa County, AL"	"01125"	2441
	"Unidentified Counties, AL"	"01999"	24352
	"Anchorage Borough, AK"	"02020"	4613
	"Unidentified Counties, AK"	"02999"	6574
	"Cochise County, AZ"	"04003"	1710
	"Coconino County, AZ"	"04005"	1717
	"Maricopa County, AZ"	"04013"	54644
	"Mohave County, AZ"	"04015"	1934
	"Pima County, AZ"	"04019"	11917
	"Pinal County, AZ"	"04021"	4669
	"Yavapai County, AZ"	"04025"	1794
	"Yuma County, AZ"	"04027"	3141
	"Unidentified Counties, AZ"	"04999"	4915
	"Benton County, AR"	"05007"	3309
	"Pulaski County, AR"	"05119"	5602
	"Sebastian County, AR"	"05131"	1704
	"Washington County, AR"	"05143"	3323
	"Unidentified Counties, AR"	"05999"	24409
	"Alameda County, CA"	"06001"	19546
	"Butte County, CA"	"06007"	2399
	"Contra Costa County, CA"	"06013"	12065
	"El Dorado County, CA"	"06017"	1513
	"Fresno County, CA"	"06019"	15955
	"Humboldt County, CA"	"06023"	1504
	"Imperial County, CA"	"06025"	3054
	"Kern County, CA"	"06029"	14553
	"Kings County, CA"	"06031"	2358
	"Los Angeles County, CA"	"06037"	131664
	"Madera County, CA"	"06039"	2257
	"Marin County, CA"	"06041"	2305
	"Merced County, CA"	"06047"	4312
	"Monterey County, CA"	"06053"	6652
	"Napa County, CA"	"06055"	1431
	"Orange County, CA"	"06059"	38183
	"Placer County, CA"	"06061"	3648
	"Riverside County, CA"	"06065"	30300
	"Sacramento County, CA"	"06067"	19623
	"San Bernardino County, CA"	"06071"	30701
	"San Diego County, CA"	"06073"	44396
	"San Francisco County, CA"	"06075"	9075
	"San Joaquin County, CA"	"06077"	10129
	"San Luis Obispo County, CA"	"06079"	2580
	"San Mateo County, CA"	"06081"	9185
	"Santa Barbara County, CA"	"06083"	5585
	"Santa Clara County, CA"	"06085"	24308
