"Notes"	"County"	"County Code"	Births
	"Santa Cruz County, CA"	"06087"	3083
	"Shasta County, CA"	"06089"	2109
	"Solano County, CA"	"06095"	5062
	"Sonoma County, CA"	"06097"	5143
	"Stanislaus County, CA"	"06099"	7591
	"Tulare County, CA"	"06107"	8000
	"Ventura County, CA"	"06111"	10641
	"Yolo County, CA"	"06113"	2451
	"Unidentified Counties, CA"	"06999"	10394
	"Adams County, CO"	"08001"	6744
	"Arapahoe County, CO"	"08005"	7557
	"Boulder County, CO"	"08013"	3040
	"Denver County, CO"	"08031"	9967
	"Douglas County, CO"	"08035"	3425
	"El Paso County, CO"	"08041"	9124
	"Jefferson County, CO"	"08059"	5609
	"Larimer County, CO"	"08069"	3383
	"Mesa County, CO"	"08077"	1844
	"Pueblo County, CO"	"08101"	1926
	"Weld County, CO"	"08123"	3854
	"Unidentified Counties, CO"	"08999"	8714
	"Fairfield County, CT"	"09001"	10116
	"Hartford County, CT"	"09003"	9468
	"Litchfield County, CT"	"09005"	1441
	"Middlesex County, CT"	"09007"	1438
	"New Haven County, CT"	"09009"	8949
	"New London County, CT"	"09011"	2786
	"Tolland County, CT"	"09013"	1158
	"Windham County, CT"	"09015"	1183
	"Kent County, DE"	"10001"	2193
	"New Castle County, DE"	"10003"	6546
	"Sussex County, DE"	"10005"	2284
	"District of Columbia, DC"	"11001"	9399
	"Alachua County, FL"	"12001"	2882
	"Bay County, FL"	"12005"	2304
	"Brevard County, FL"	"12009"	4987
	"Broward County, FL"	"12011"	21186
	"Charlotte County, FL"	"12015"	1036
	"Citrus County, FL"	"12017"	1039
	"Clay County, FL"	"12019"	2081
	"Collier County, FL"	"12021"	3148
	"Duval County, FL"	"12031"	12471
	"Escambia County, FL"	"12033"	3931
	"Hernando County, FL"	"12053"	1389
	"Hillsborough County, FL"	"12057"	16425
	"Indian River County, FL"	"12061"	1248
	"Lake County, FL"	"12069"	3065
	"Lee County, FL"	"12071"	6407
	"Leon County, FL"	"12073"	3014
	"Manatee County, FL"	"12081"	3434
	"Marion County, FL"	"12083"	3263
	"Martin County, FL"	"12085"	1126
	"Miami-Dade County, FL"	"12086"	30512
	"Okaloosa County, FL"	"12091"	2606
	"Orange County, FL"	"12095"	15743
	"Osceola County, FL"	"12097"	3829
	"Palm Beach County, FL"	"12099"	13950
	"Pasco County, FL"	"12101"	4736
	"Pinellas County, FL"	"12103"	8447
	"Polk County, FL"	"12105"	7252
	"St. Johns County, FL"	"12109"	1897
	"St. Lucie County, FL"	"12111"	2948
	"Santa Rosa County, FL"	"12113"	1859
	"Sarasota County, FL"	"12115"	2913
	"Seminole County, FL"	"12117"	4421
	"Volusia County, FL"	"12127"	4708
	"Unidentified Counties, FL"	"12999"	12891
	"Bibb County, GA"	"13021"	2350
	"Chatham County, GA"	"13051"	4093
	"Cherokee County, GA"	"13057"	2615
	"Clarke County, GA"	"13059"	1502
	"Clayton County, GA"	"13063"	3744
	"Cobb County, GA"	"13067"	9499
	"DeKalb County, GA"	"13089"	10932
	"Fulton County, GA"	"13121"	13329
	"Gwinnett County, GA"	"13135"	10824
	"Hall County, GA"	"13139"	2523
	"Henry County, GA"	"13151"	2606
	"Houston County, GA"	"13153"	2005
	"Muscogee County, GA"	"13215"	3268
	"Richmond County, GA"	"13245"	3200
	"Unidentified Counties, GA"	"13999"	57790
	"Hawaii County, HI"	"15001"	2422
	"Honolulu County, HI"	"15003"	13676
	"Maui County, HI"	"15009"	2017
	"Unidentified Counties, HI"	"15999"	865
	"Ada County, ID"	"16001"	5075
	"Canyon County, ID"	"16027"	3096
	"Kootenai County, ID"	"16055"	1746
	"Unidentified Counties, ID"	"16999"	13046
	"Champaign County, IL"	"17019"	2376
	"Cook County, IL"	"17031"	70275
	"DuPage County, IL"	"17043"	10530
	"Kane County, IL"	"17089"	6855
	"Kankakee County, IL"	"17091"	1346
	"Lake County, IL"	"17097"	8017
	"LaSalle County, IL"	"17099"	1119
	"McHenry County, IL"	"17111"	3248
	"McLean County, IL"	"17113"	2169
	"Macon County, IL"	"17115"	1376
	"Madison County, IL"	"17119"	3115
	"Peoria County, IL"	"17143"	2689
	"Rock Island County, IL"	"17161"	1880
	"St. Clair County, IL"	"17163"	3407
	"Sangamon County, IL"	"17167"	2323
	"Tazewell County, IL"	"17179"	1644
	"Will County, IL"	"17197"	7988
	"Winnebago County, IL"	"17201"	3590
	"Unidentified Counties, IL"	"17999"	25213
	"Allen County, IN"	"18003"	5248
	"Delaware County, IN"	"18035"	1225
	"Elkhart County, IN"	"18039"	3048
	"Hamilton County, IN"	"18057"	3684
	"Hendricks County, IN"	"18063"	1653
	"Johnson County, IN"	"18081"	1858
	"Lake County, IN"	"18089"	5984
	"La Porte County, IN"	"18091"	1287
	"Madison County, IN"	"18095"	1458
	"Marion County, IN"	"18097"	14588
	"Monroe County, IN"	"18105"	1299
	"Porter County, IN"	"18127"	1779
	"St. Joseph County, IN"	"18141"	3494
	"Tippecanoe County, IN"	"18157"	2318
	"Vanderburgh County, IN"	"18163"	2365
	"Vigo County, IN"	"18167"	1280
	"Unidentified Counties, IN"	"18999"	30659
	"Black Hawk County, IA"	"19013"	1729
	"Johnson County, IA"	"19103"	1832
	"Linn County, IA"	"19113"	2724
	"Polk County, IA"	"19153"	6734
	"Scott County, IA"	"19163"	2201
	"Woodbury County, IA"	"19193"	1506
	"Unidentified Counties, IA"	"19999"	21976
	"Johnson County, KS"	"20091"	7443
	"Sedgwick County, KS"	"20173"	7899
	"Shawnee County, KS"	"20177"	2433
	"Wyandotte County, KS"	"20209"	2773
	"Unidentified Counties, KS"	"20999"	19793
	"Fayette County, KY"	"21067"	4040
	"Jefferson County, KY"	"21111"	9938
	"Kenton County, KY"	"21117"	2374
	"Unidentified Counties, KY"	"21999"	39406
	"Caddo Parish, LA"	"22017"	3851
	"Calcasieu Parish, LA"	"22019"	2780
	"East Baton Rouge Parish, LA"	"22033"	6086
	"Jefferson Parish, LA"	"22051"	5680
	"Lafayette Parish, LA"	"22055"	3305
	"Orleans Parish, LA"	"22071"	4699
	"Ouachita Parish, LA"	"22073"	2243
	"Rapides Parish, LA"	"22079"	1790
	"St. Tammany Parish, LA"	"22103"	2675
	"Tangipahoa Parish, LA"	"22105"	1931
	"Terrebonne Parish, LA"	"22109"	1534
	"Unidentified Counties, LA"	"22999"	26068
	"Androscoggin County, ME"	"23001"	1313
	"Cumberland County, ME"	"23005"	2767
	"Kennebec County, ME"	"23011"	1210
	"Penobscot County, ME"	"23019"	1456
	"York County, ME"	"23031"	1881
	"Unidentified Counties, ME"	"23999"	4171
	"Anne Arundel County, MD"	"24003"	6862
	"Baltimore County, MD"	"24005"	9586
	"Carroll County, MD"	"24013"	1618
	"Charles County, MD"	"24017"	1919
	"Frederick County, MD"	"24021"	2741
	"Harford County, MD"	"24025"	2638
	"Howard County, MD"	"24027"	3454
	"Montgomery County, MD"	"24031"	13117
	"Prince George's County, MD"	"24033"	11947
	"Washington County, MD"	"24043"	1770
	"Baltimore city, MD"	"24510"	9122
	"Unidentified Counties, MD"	"24999"	8109
	"Barnstable County, MA"	"25001"	1589
	"Berkshire County, MA"	"25003"	1150
	"Bristol County, MA"	"25005"	5683
	"Essex County, MA"	"25009"	8354
	"Hampden County, MA"	"25013"	5375
	"Hampshire County, MA"	"25015"	1118
	"Middlesex County, MA"	"25017"	17673
	"Norfolk County, MA"	"25021"	7176
	"Plymouth County, MA"	"25023"	5081
	"Suffolk County, MA"	"25025"	9559
	"Worcester County, MA"	"25027"	8722
	"Unidentified Counties, MA"	"25999"	959
	"Allegan County, MI"	"26005"	1358
	"Bay County, MI"	"26017"	1054
	"Berrien County, MI"	"26021"	1972
	"Calhoun County, MI"	"26025"	1698
	"Eaton County, MI"	"26045"	1119
	"Genesee County, MI"	"26049"	4985
	"Ingham County, MI"	"26065"	3404
	"Jackson County, MI"	"26075"	1783
	"Kalamazoo County, MI"	"26077"	3132
	"Kent County, MI"	"26081"	8975
	"Livingston County, MI"	"26093"	1669
	"Macomb County, MI"	"26099"	9091
	"Monroe County, MI"	"26115"	1530
	"Muskegon County, MI"	"26121"	2069
	"Oakland County, MI"	"26125"	13347
	"Ottawa County, MI"	"26139"	3301
	"Saginaw County, MI"	"26145"	2332
	"St. Clair County, MI"	"26147"	1558
	"Washtenaw County, MI"	"26161"	3699
	"Wayne County, MI"	"26163"	23141
	"Unidentified Counties, MI"	"26999"	21874
	"Anoka County, MN"	"27003"	4035
	"Dakota County, MN"	"27037"	5266
	"Hennepin County, MN"	"27053"	16344
	"Olmsted County, MN"	"27109"	2078
	"Ramsey County, MN"	"27123"	7768
	"St. Louis County, MN"	"27137"	2076
	"Stearns County, MN"	"27145"	1864
	"Washington County, MN"	"27163"	2789
	"Unidentified Counties, MN"	"27999"	26552
	"DeSoto County, MS"	"28033"	2064
	"Harrison County, MS"	"28047"	2758
	"Hinds County, MS"	"28049"	3351
	"Jackson County, MS"	"28059"	1529
	"Rankin County, MS"	"28121"	1872
	"Unidentified Counties, MS"	"28999"	27095
	"Boone County, MO"	"29019"	2135
	"Clay County, MO"	"29047"	3117
	"Greene County, MO"	"29077"	3578
	"Jackson County, MO"	"29095"	9648
	"Jasper County, MO"	"29097"	1748
	"Jefferson County, MO"	"29099"	2702
	"St. Charles County, MO"	"29183"	4440
	"St. Louis County, MO"	"29189"	11560
	"St. Louis city, MO"	"29510"	4685
	"Unidentified Counties, MO"	"29999"	31833
	"Yellowstone County, MT"	"30111"	2079
	"Unidentified Counties, MT"	"30999"	10039
	"Douglas County, NE"	"31055"	8421
	"Lancaster County, NE"	"31109"	4115
	"Sarpy County, NE"	"31153"	2586
	"Unidentified Counties, NE"	"31999"	10820
	"Clark County, NV"	"32003"	25991
	"Washoe County, NV"	"32031"	5308
	"Unidentified Counties, NV"	"32999"	3612
	"Hillsborough County, NH"	"33011"	4262
	"Merrimack County, NH"	"33013"	1345
	"Rockingham County, NH"	"33015"	2551
	"Strafford County, NH"	"33017"	1222
	"Unidentified Counties, NH"	"33999"	2972
	"Atlantic County, NJ"	"34001"	3310
	"Bergen County, NJ"	"34003"	9156
	"Burlington County, NJ"	"34005"	4471
	"Camden County, NJ"	"34007"	6403
	"Cape May County, NJ"	"34009"	930
	"Cumberland County, NJ"	"34011"	2106
	"Essex County, NJ"	"34013"	10516
	"Gloucester County, NJ"	"34015"	3052
	"Hudson County, NJ"	"34017"	10315
	"Hunterdon County, NJ"	"34019"	888
	"Mercer County, NJ"	"34021"	4278
	"Middlesex County, NJ"	"34023"	9890
	"Monmouth County, NJ"	"34025"	6190
	"Morris County, NJ"	"34027"	4630
	"Ocean County, NJ"	"34029"	8014
	"Passaic County, NJ"	"34031"	6968
	"Somerset County, NJ"	"34035"	3431
	"Sussex County, NJ"	"34037"	1234
	"Union County, NJ"	"34039"	6770
	"Warren County, NJ"	"34041"	978
	"Unidentified Counties, NJ"	"34999"	700
	"Bernalillo County, NM"	"35001"	8385
	"Dona Ana County, NM"	"35013"	2997
	"San Juan County, NM"	"35045"	1869
	"Santa Fe County, NM"	"35049"	1359
	"Unidentified Counties, NM"	"35999"	12458
	"Albany County, NY"	"36001"	3087
	"Bronx County, NY"	"36005"	21453
	"Broome County, NY"	"36007"	2083
	"Chautauqua County, NY"	"36013"	1420
	"Dutchess County, NY"	"36027"	2722
	"Erie County, NY"	"36029"	9972
	"Jefferson County, NY"	"36045"	2298
	"Kings County, NY"	"36047"	42672
	"Monroe County, NY"	"36055"	8290
	"Nassau County, NY"	"36059"	14014
	"New York County, NY"	"36061"	19510
	"Niagara County, NY"	"36063"	2132
	"Oneida County, NY"	"36065"	2595
	"Onondaga County, NY"	"36067"	5327
	"Ontario County, NY"	"36069"	1050
	"Orange County, NY"	"36071"	4972
	"Oswego County, NY"	"36075"	1334
	"Queens County, NY"	"36081"	30571
	"Rensselaer County, NY"	"36083"	1614
	"Richmond County, NY"	"36085"	5356
	"Rockland County, NY"	"36087"	5080
	"St. Lawrence County, NY"	"36089"	1240
	"Saratoga County, NY"	"36091"	2199
	"Schenectady County, NY"	"36093"	1982
	"Suffolk County, NY"	"36103"	15738
	"Ulster County, NY"	"36111"	1569
	"Westchester County, NY"	"36119"	10466
	"Unidentified Counties, NY"	"36999"	20170
	"Alamance County, NC"	"37001"	1757
	"Buncombe County, NC"	"37021"	2611
	"Cabarrus County, NC"	"37025"	2273
	"Catawba County, NC"	"37035"	1828
	"Cumberland County, NC"	"37051"	5538
	"Davidson County, NC"	"37057"	1667
	"Durham County, NC"	"37063"	4325
	"Forsyth County, NC"	"37067"	4626
	"Gaston County, NC"	"37071"	2509
	"Guilford County, NC"	"37081"	6166
	"Iredell County, NC"	"37097"	1727
	"Johnston County, NC"	"37101"	2217
	"Mecklenburg County, NC"	"37119"	13855
	"New Hanover County, NC"	"37129"	2235
	"Onslow County, NC"	"37133"	4415
	"Orange County, NC"	"37135"	1284
	"Pitt County, NC"	"37147"	2168
	"Randolph County, NC"	"37151"	1635
	"Robeson County, NC"	"37155"	1834
	"Rowan County, NC"	"37159"	1582
	"Union County, NC"	"37179"	2381
	"Wake County, NC"	"37183"	12314
	"Wayne County, NC"	"37191"	1793
	"Unidentified Counties, NC"	"37999"	37091
	"Cass County, ND"	"38017"	2365
	"Unidentified Counties, ND"	"38999"	7741
	"Allen County, OH"	"39003"	1278
	"Ashtabula County, OH"	"39007"	1110
	"Butler County, OH"	"39017"	4638
	"Clark County, OH"	"39023"	1588
	"Clermont County, OH"	"39025"	2371
	"Columbiana County, OH"	"39029"	1115
	"Cuyahoga County, OH"	"39035"	14794
	"Delaware County, OH"	"39041"	2085
	"Fairfield County, OH"	"39045"	1638
	"Franklin County, OH"	"39049"	18341
	"Greene County, OH"	"39057"	1783
	"Hamilton County, OH"	"39061"	11033
	"Lake County, OH"	"39085"	2186
	"Licking County, OH"	"39089"	1952
	"Lorain County, OH"	"39093"	3354
	"Lucas County, OH"	"39095"	5798
	"Mahoning County, OH"	"39099"	2405
	"Medina County, OH"	"39103"	1720
	"Montgomery County, OH"	"39113"	6758
	"Portage County, OH"	"39133"	1388
	"Richland County, OH"	"39139"	1442
	"Stark County, OH"	"39151"	4098
	"Summit County, OH"	"39153"	6231
	"Trumbull County, OH"	"39155"	2087
	"Warren County, OH"	"39165"	2424
	"Wayne County, OH"	"39169"	1509
	"Wood County, OH"	"39173"	1361
	"Unidentified Counties, OH"	"39999"	31996
	"Cleveland County, OK"	"40027"	3037
	"Comanche County, OK"	"40031"	1982
	"Oklahoma County, OK"	"40109"	12122
	"Tulsa County, OK"	"40143"	9315
	"Unidentified Counties, OK"	"40999"	26295
	"Clackamas County, OR"	"41005"	3978
	"Deschutes County, OR"	"41017"	1645
	"Douglas County, OR"	"41019"	1099
	"Jackson County, OR"	"41029"	2267
	"Lane County, OR"	"41039"	3480
	"Linn County, OR"	"41043"	1418
	"Marion County, OR"	"41047"	4343
	"Multnomah County, OR"	"41051"	9365
	"Washington County, OR"	"41067"	7251
	"Unidentified Counties, OR"	"41999"	10221
	"Allegheny County, PA"	"42003"	13084
	"Beaver County, PA"	"42007"	1720
	"Berks County, PA"	"42011"	4852
	"Blair County, PA"	"42013"	1351
	"Bucks County, PA"	"42017"	5878
	"Butler County, PA"	"42019"	1755
	"Cambria County, PA"	"42021"	1341
	"Centre County, PA"	"42027"	1307
	"Chester County, PA"	"42029"	5471
	"Cumberland County, PA"	"42041"	2550
	"Dauphin County, PA"	"42043"	3405
	"Delaware County, PA"	"42045"	6632
	"Erie County, PA"	"42049"	3129
	"Fayette County, PA"	"42051"	1354
	"Franklin County, PA"	"42055"	1824
	"Lackawanna County, PA"	"42069"	2123
	"Lancaster County, PA"	"42071"	7009
	"Lebanon County, PA"	"42075"	1652
	"Lehigh County, PA"	"42077"	4112
	"Luzerne County, PA"	"42079"	3121
	"Lycoming County, PA"	"42081"	1313
	"Mercer County, PA"	"42085"	1149
	"Monroe County, PA"	"42089"	1427
	"Montgomery County, PA"	"42091"	8930
	"Northampton County, PA"	"42095"	3062
	"Philadelphia County, PA"	"42101"	23335
	"Schuylkill County, PA"	"42107"	1350
	"Washington County, PA"	"42125"	1997
	"Westmoreland County, PA"	"42129"	3138
	"York County, PA"	"42133"	4917
	"Unidentified Counties, PA"	"42999"	18226
	"Kent County, RI"	"44003"	1577
	"Providence County, RI"	"44007"	7351
	"Washington County, RI"	"44009"	925
	"Unidentified Counties, RI"	"44999"	1073
	"Aiken County, SC"	"45003"	1772
	"Anderson County, SC"	"45007"	2190
	"Beaufort County, SC"	"45013"	2030
	"Berkeley County, SC"	"45015"	2601
	"Charleston County, SC"	"45019"	4689
	"Florence County, SC"	"45041"	1829
	"Greenville County, SC"	"45045"	6166
	"Horry County, SC"	"45051"	2938
	"Lexington County, SC"	"45063"	3242
	"Pickens County, SC"	"45077"	1179
	"Richland County, SC"	"45079"	4781
	"Spartanburg County, SC"	"45083"	3580
	"Sumter County, SC"	"45085"	1544
	"York County, SC"	"45091"	2989
	"Unidentified Counties, SC"	"45999"	15625
	"Minnehaha County, SD"	"46099"	2811
	"Unidentified Counties, SD"	"46999"	9293
	"Blount County, TN"	"47009"	1275
	"Davidson County, TN"	"47037"	9736
	"Hamilton County, TN"	"47065"	4197
	"Knox County, TN"	"47093"	5288
	"Montgomery County, TN"	"47125"	3634
	"Rutherford County, TN"	"47149"	3636
	"Shelby County, TN"	"47157"	13926
	"Sullivan County, TN"	"47163"	1598
	"Sumner County, TN"	"47165"	1934
	"Washington County, TN"	"47179"	1398
	"Williamson County, TN"	"47187"	1935
	"Unidentified Counties, TN"	"47999"	31814
	"Bell County, TX"	"48027"	6222
	"Bexar County, TX"	"48029"	26283
	"Brazoria County, TX"	"48039"	4612
	"Brazos County, TX"	"48041"	2596
	"Cameron County, TX"	"48061"	7359
	"Collin County, TX"	"48085"	10350
	"Dallas County, TX"	"48113"	38782
	"Denton County, TX"	"48121"	9338
	"Ector County, TX"	"48135"	2757
	"Ellis County, TX"	"48139"	1838
	"El Paso County, TX"	"48141"	13891
	"Fort Bend County, TX"	"48157"	8137
	"Galveston County, TX"	"48167"	3894
	"Grayson County, TX"	"48181"	1516
	"Gregg County, TX"	"48183"	1940
	"Harris County, TX"	"48201"	67380
	"Hidalgo County, TX"	"48215"	16304
	"Jefferson County, TX"	"48245"	3431
	"Johnson County, TX"	"48251"	1947
	"Lubbock County, TX"	"48303"	3933
	"McLennan County, TX"	"48309"	3398
	"Midland County, TX"	"48329"	2511
	"Montgomery County, TX"	"48339"	6385
	"Nueces County, TX"	"48355"	4812
	"Potter County, TX"	"48375"	2101
	"Randall County, TX"	"48381"	1620
	"Smith County, TX"	"48423"	2993
	"Tarrant County, TX"	"48439"	27684
	"Taylor County, TX"	"48441"	2090
	"Tom Green County, TX"	"48451"	1490
	"Travis County, TX"	"48453"	15830
	"Webb County, TX"	"48479"	5432
	"Wichita County, TX"	"48485"	1772
	"Williamson County, TX"	"48491"	6135
	"Unidentified Counties, TX"	"48999"	65964
	"Davis County, UT"	"49011"	5853
	"Salt Lake County, UT"	"49035"	17910
	"Utah County, UT"	"49049"	12023
	"Weber County, UT"	"49057"	3960
	"Unidentified Counties, UT"	"49999"	11719
	"Chittenden County, VT"	"50007"	1583
	"Unidentified Counties, VT"	"50999"	4426
	"Arlington County, VA"	"51013"	3206
	"Chesterfield County, VA"	"51041"	3672
	"Fairfax County, VA"	"51059"	14927
	"Henrico County, VA"	"51087"	3970
	"Loudoun County, VA"	"51107"	4919
	"Prince William County, VA"	"51153"	6879
	"Alexandria city, VA"	"51510"	2818
	"Chesapeake city, VA"	"51550"	2813
	"Hampton city, VA"	"51650"	1826
	"Newport News city, VA"	"51700"	2905
	"Norfolk city, VA"	"51710"	3801
	"Portsmouth city, VA"	"51740"	1535
	"Richmond city, VA"	"51760"	2943
	"Virginia Beach city, VA"	"51810"	6290
	"Unidentified Counties, VA"	"51999"	40509
	"Benton County, WA"	"53005"	2559
	"Clark County, WA"	"53011"	5364
	"King County, WA"	"53033"	25031
	"Kitsap County, WA"	"53035"	2998
	"Pierce County, WA"	"53053"	11290
	"Skagit County, WA"	"53057"	1430
	"Snohomish County, WA"	"53061"	9228
	"Spokane County, WA"	"53063"	5998
	"Thurston County, WA"	"53067"	3130
	"Whatcom County, WA"	"53073"	2260
	"Yakima County, WA"	"53077"	4125
	"Unidentified Counties, WA"	"53999"	14050
	"Kanawha County, WV"	"54039"	2229
	"Unidentified Counties, WV"	"54999"	18598
	"Brown County, WI"	"55009"	3462
	"Dane County, WI"	"55025"	6164
	"Kenosha County, WI"	"55059"	1926
	"La Crosse County, WI"	"55063"	1222
	"Marathon County, WI"	"55073"	1610
	"Milwaukee County, WI"	"55079"	14031
	"Outagamie County, WI"	"55087"	2233
	"Racine County, WI"	"55101"	2373
	"Rock County, WI"	"55105"	1877
	"Sheboygan County, WI"	"55117"	1278
	"Washington County, WI"	"55131"	1334
	"Waukesha County, WI"	"55133"	3870
	"Winnebago County, WI"	"55139"	1890
	"Unidentified Counties, WI"	"55999"	24025
	"Unidentified Counties, WY"	"56999"	7572
"Total"			3952841
"---"
"Dataset: Natality, 2007-2023"
"Query Parameters:"
"Year: 2012"
"Group By: County"
"Show Totals: True"
"Show Zero Values: False"
"Show Suppressed: False"
"Calculate Rates Per: 1,000"
"Population Option: No populations shown because rates were not selected."
"---"
"Help: See http://wonder.cdc.gov/wonder/help/natality.html for more information."
"---"
"Query Date: Feb 19, 2025 7:01:31 PM"
"---"
"Suggested Citation: Centers for Disease Control and Prevention, National Center for Health Statistics. National Vital Statistics"
"System, Natality on CDC WONDER Online Database. Data are from the Natality Records 2007-2023, as compiled from data provided by"
"the 57 vital statistics jurisdictions through the Vital Statistics Cooperative Program. Accessed at"
"http://wonder.cdc.gov/natality-current.html on Feb 19, 2025 7:01:31 PM"
"---"
Messages:
"1. Rows with zero Births are hidden. Use Quick Options above to show zero rows."
"---"
Caveats:
"1. 'Missing County' appears when county data is not available for a certain year. This occurs because the county did not meet"
"minimum population standards and thus the data for the county was recoded to the ""Unidentified Counties"" category for the"
"state of the county. More information: http://wonder.cdc.gov/wonder/help/natality.html#Locations."
"2. Each birth record represents one liveborn infant."
"3. County-level data are shown only for counties with populations of 100,000 persons or more. Within each state, data for all"
"counties with fewer than 100,000 persons are combined together under the label ""Unidentified Counties""."
"4. <p> As a result of population changes the following counties do not have data available for all years.<br/> Before 2014 the"
"data for the following counties was recoded to the ""Unidentified Counties"" category within the state of the county because"
"they did not meet minimum population standards. Houston County, AL (01069); Navajo County, AZ (04017); Faulkner County, AR"
"(05045); Saline County, AR (05125); Bartow County, GA (13015); Carroll County, GA (13045); Columbia County, GA (13073); Coweta"
"County, GA (13077); Douglas County, GA (13097); Fayette County, GA (13113); Forsyth County, GA (13117); Lowndes County, GA"
"(13185); Paulding County, GA (13223); Whitfield County, GA (13313); Bonneville County, ID (16019); DeKalb County, IL (17037);"
"Kendall County, IL (17093); Clark County, IN (18019); Douglas County, KS (20045); Boone County, KY (21015); Hardin County, KY"
"(21093); Warren County, KY (21227); Ascension Parish, LA (22005); Bossier Parish, LA (22015); Livingston Parish, LA (22063);"
"Cecil County, MD (24015); St. Mary's County, MD (24037); Scott County, MN (27139); Wright County, MN (27171); Franklin County,"
"MO (29071); Missoula County, MT (30063); Sandoval County, NM (35043); Tompkins County, NY (36109); Brunswick County, NC (37019);"
"Craven County, NC (37049); Harnett County, NC (37085); Henderson County, NC (37089); Miami County, OH (39109); Canadian County,"
"OK (40017); Adams County, PA (42001); Dorchester County, SC (45035); Pennington County, SD (46103); Wilson County, TN (47189);"
"Comal County, TX (48091); Guadalupe County, TX (48187); Hays County, TX (48209); Kaufman County, TX (48257); Parker County, TX"
"(48367); Cache County, UT (49005); Washington County, UT (49053); Spotsylvania County, VA (51177); Stafford County, VA (51179);"
"Cowlitz County, WA (53015); Berkeley County, WV (54003); Fond du Lac County, WI (55039); Walworth County, WI (55127). </p> <p>"
"After 2013 the data for the following counties was recoded to the ""Unidentified Counties"" category within the state of the"
"county because they did not meet minimum population standards. Cape May County, NJ (34009); Portsmouth city, VA (51740). </p>"
"5. Dade County, Florida (FIPS code 12025) was renamed Miami-Dade County (FIPS code 12086) effective November 13, 1997. The area"
"is coded to Miami-Dade (12086) after 2002 and Dade (12025) for earlier years in other natality datasets."
"6. The independent city of Baltimore, Maryland (FIPS code 24510) is reported separately from Baltimore County (FIPS code 24005)."
"7. The independent city of St. Louis, Missouri (FIPS code 29510) is reported separately from St. Louis County (FIPS code 29189)."
"8. Bronx, New York (FIPS code 36005) represents Bronx Borough, New York City."
"9. Kings County, New York (FIPS code 36047) represents Brooklyn Borough, New York City."
"10. New York County, New York (FIPS code 36061) represents Manhattan Borough, New York City."
"11. Queens, New York (FIPS code 36081) represents Queens Borough, New York City."
"12. Richmond County, New York (FIPS code 36085) represents Staten Island Borough, New York City."
