"Notes"	"County"	"County Code"	Births
	"Baldwin County, AL"	"01003"	2160
	"Calhoun County, AL"	"01015"	1347
	"Etowah County, AL"	"01055"	1182
	"Jefferson County, AL"	"01073"	8640
	"Lee County, AL"	"01081"	1858
	"Madison County, AL"	"01089"	4106
	"Mobile County, AL"	"01097"	5578
	"Montgomery County, AL"	"01101"	3166
	"Morgan County, AL"	"01103"	1413
	"Shelby County, AL"	"01117"	2328
	"Tuscaloosa County, AL"	"01125"	2419
	"Unidentified Counties, AL"	"01999"	23970
	"Anchorage Borough, AK"	"02020"	4778
	"Unidentified Counties, AK"	"02999"	6668
	"Cochise County, AZ"	"04003"	1618
	"Coconino County, AZ"	"04005"	1647
	"Maricopa County, AZ"	"04013"	54015
	"Mohave County, AZ"	"04015"	1884
	"Pima County, AZ"	"04019"	11994
	"Pinal County, AZ"	"04021"	4575
	"Yavapai County, AZ"	"04025"	1826
	"Yuma County, AZ"	"04027"	3141
	"Unidentified Counties, AZ"	"04999"	4900
	"Benton County, AR"	"05007"	3238
	"Pulaski County, AR"	"05119"	5521
	"Sebastian County, AR"	"05131"	1627
	"Washington County, AR"	"05143"	3259
	"Unidentified Counties, AR"	"05999"	24187
	"Alameda County, CA"	"06001"	19257
	"Butte County, CA"	"06007"	2415
	"Contra Costa County, CA"	"06013"	12154
	"El Dorado County, CA"	"06017"	1534
	"Fresno County, CA"	"06019"	15737
	"Humboldt County, CA"	"06023"	1531
	"Imperial County, CA"	"06025"	3094
	"Kern County, CA"	"06029"	14149
	"Kings County, CA"	"06031"	2394
	"Los Angeles County, CA"	"06037"	128598
	"Madera County, CA"	"06039"	2315
	"Marin County, CA"	"06041"	2321
	"Merced County, CA"	"06047"	4162
	"Monterey County, CA"	"06053"	6547
	"Napa County, CA"	"06055"	1450
	"Orange County, CA"	"06059"	37281
	"Placer County, CA"	"06061"	3688
	"Riverside County, CA"	"06065"	29941
	"Sacramento County, CA"	"06067"	19371
	"San Bernardino County, CA"	"06071"	30246
	"San Diego County, CA"	"06073"	43659
	"San Francisco County, CA"	"06075"	8814
	"San Joaquin County, CA"	"06077"	9800
	"San Luis Obispo County, CA"	"06079"	2650
	"San Mateo County, CA"	"06081"	8824
	"Santa Barbara County, CA"	"06083"	5755
	"Santa Clara County, CA"	"06085"	23313
	"Santa Cruz County, CA"	"06087"	2871
	"Shasta County, CA"	"06089"	2143
	"Solano County, CA"	"06095"	5259
	"Sonoma County, CA"	"06097"	4983
	"Stanislaus County, CA"	"06099"	7579
	"Tulare County, CA"	"06107"	7653
	"Ventura County, CA"	"06111"	10446
	"Yolo County, CA"	"06113"	2491
	"Unidentified Counties, CA"	"06999"	10280
	"Adams County, CO"	"08001"	6529
	"Arapahoe County, CO"	"08005"	7677
	"Boulder County, CO"	"08013"	2916
	"Denver County, CO"	"08031"	10005
	"Douglas County, CO"	"08035"	3469
	"El Paso County, CO"	"08041"	9138
	"Jefferson County, CO"	"08059"	5825
	"Larimer County, CO"	"08069"	3373
	"Mesa County, CO"	"08077"	1809
	"Pueblo County, CO"	"08101"	1856
	"Weld County, CO"	"08123"	3919
	"Unidentified Counties, CO"	"08999"	8491
	"Fairfield County, CT"	"09001"	10052
	"Hartford County, CT"	"09003"	9315
	"Litchfield County, CT"	"09005"	1424
	"Middlesex County, CT"	"09007"	1372
	"New Haven County, CT"	"09009"	8977
	"New London County, CT"	"09011"	2661
	"Tolland County, CT"	"09013"	1086
	"Windham County, CT"	"09015"	1198
	"Kent County, DE"	"10001"	2124
	"New Castle County, DE"	"10003"	6506
	"Sussex County, DE"	"10005"	2201
	"District of Columbia, DC"	"11001"	9288
	"Alachua County, FL"	"12001"	2826
	"Bay County, FL"	"12005"	2241
	"Brevard County, FL"	"12009"	5086
	"Broward County, FL"	"12011"	21563
	"Charlotte County, FL"	"12015"	1024
	"Citrus County, FL"	"12017"	1022
	"Clay County, FL"	"12019"	2091
	"Collier County, FL"	"12021"	3156
	"Duval County, FL"	"12031"	12578
	"Escambia County, FL"	"12033"	3811
	"Hernando County, FL"	"12053"	1488
	"Hillsborough County, FL"	"12057"	16625
	"Indian River County, FL"	"12061"	1220
	"Lake County, FL"	"12069"	3080
	"Lee County, FL"	"12071"	6404
	"Leon County, FL"	"12073"	3010
	"Manatee County, FL"	"12081"	3378
	"Marion County, FL"	"12083"	3340
	"Martin County, FL"	"12085"	1176
	"Miami-Dade County, FL"	"12086"	31189
	"Okaloosa County, FL"	"12091"	2772
	"Orange County, FL"	"12095"	15835
	"Osceola County, FL"	"12097"	3914
	"Palm Beach County, FL"	"12099"	14206
	"Pasco County, FL"	"12101"	4794
	"Pinellas County, FL"	"12103"	8586
	"Polk County, FL"	"12105"	7259
	"St. Johns County, FL"	"12109"	1992
	"St. Lucie County, FL"	"12111"	2990
	"Santa Rosa County, FL"	"12113"	1799
	"Sarasota County, FL"	"12115"	2804
	"Seminole County, FL"	"12117"	4423
	"Volusia County, FL"	"12127"	4637
	"Unidentified Counties, FL"	"12999"	13088
	"Bibb County, GA"	"13021"	2331
	"Chatham County, GA"	"13051"	3897
	"Cherokee County, GA"	"13057"	2726
	"Clarke County, GA"	"13059"	1390
	"Clayton County, GA"	"13063"	3608
	"Cobb County, GA"	"13067"	9333
	"DeKalb County, GA"	"13089"	10828
	"Fulton County, GA"	"13121"	13189
	"Gwinnett County, GA"	"13135"	11105
	"Hall County, GA"	"13139"	2466
	"Henry County, GA"	"13151"	2516
	"Houston County, GA"	"13153"	1994
	"Muscogee County, GA"	"13215"	3209
	"Richmond County, GA"	"13245"	3302
	"Unidentified Counties, GA"	"13999"	56854
	"Hawaii County, HI"	"15001"	2416
	"Honolulu County, HI"	"15003"	13639
	"Maui County, HI"	"15009"	2060
	"Unidentified Counties, HI"	"15999"	872
	"Ada County, ID"	"16001"	4982
	"Canyon County, ID"	"16027"	3092
	"Kootenai County, ID"	"16055"	1710
	"Unidentified Counties, ID"	"16999"	12599
	"Champaign County, IL"	"17019"	2386
	"Cook County, IL"	"17031"	68930
	"DuPage County, IL"	"17043"	10592
	"Kane County, IL"	"17089"	6766
	"Kankakee County, IL"	"17091"	1356
	"Lake County, IL"	"17097"	7849
	"LaSalle County, IL"	"17099"	1132
	"McHenry County, IL"	"17111"	3164
	"McLean County, IL"	"17113"	2141
	"Macon County, IL"	"17115"	1348
	"Madison County, IL"	"17119"	3093
	"Peoria County, IL"	"17143"	2667
	"Rock Island County, IL"	"17161"	1787
	"St. Clair County, IL"	"17163"	3341
	"Sangamon County, IL"	"17167"	2307
	"Tazewell County, IL"	"17179"	1594
	"Will County, IL"	"17197"	7647
	"Winnebago County, IL"	"17201"	3532
	"Unidentified Counties, IL"	"17999"	25299
	"Allen County, IN"	"18003"	5082
	"Delaware County, IN"	"18035"	1278
	"Elkhart County, IN"	"18039"	2969
	"Hamilton County, IN"	"18057"	3877
	"Hendricks County, IN"	"18063"	1722
	"Johnson County, IN"	"18081"	1810
	"Lake County, IN"	"18089"	6022
	"La Porte County, IN"	"18091"	1316
	"Madison County, IN"	"18095"	1541
	"Marion County, IN"	"18097"	14352
	"Monroe County, IN"	"18105"	1267
	"Porter County, IN"	"18127"	1768
	"St. Joseph County, IN"	"18141"	3559
	"Tippecanoe County, IN"	"18157"	2218
	"Vanderburgh County, IN"	"18163"	2264
	"Vigo County, IN"	"18167"	1284
	"Unidentified Counties, IN"	"18999"	30773
	"Black Hawk County, IA"	"19013"	1689
	"Johnson County, IA"	"19103"	1767
	"Linn County, IA"	"19113"	2705
	"Polk County, IA"	"19153"	6770
	"Scott County, IA"	"19163"	2270
	"Woodbury County, IA"	"19193"	1541
	"Unidentified Counties, IA"	"19999"	22352
	"Johnson County, KS"	"20091"	7328
	"Sedgwick County, KS"	"20173"	7496
	"Shawnee County, KS"	"20177"	2356
	"Wyandotte County, KS"	"20209"	2681
	"Unidentified Counties, KS"	"20999"	18978
	"Fayette County, KY"	"21067"	4071
	"Jefferson County, KY"	"21111"	9959
	"Kenton County, KY"	"21117"	2284
	"Unidentified Counties, KY"	"21999"	39372
	"Caddo Parish, LA"	"22017"	3835
	"Calcasieu Parish, LA"	"22019"	2728
	"East Baton Rouge Parish, LA"	"22033"	6141
	"Jefferson Parish, LA"	"22051"	5596
	"Lafayette Parish, LA"	"22055"	3497
	"Orleans Parish, LA"	"22071"	4867
	"Ouachita Parish, LA"	"22073"	2258
	"Rapides Parish, LA"	"22079"	1794
	"St. Tammany Parish, LA"	"22103"	2854
	"Tangipahoa Parish, LA"	"22105"	1936
	"Terrebonne Parish, LA"	"22109"	1705
	"Unidentified Counties, LA"	"22999"	25990
	"Androscoggin County, ME"	"23001"	1251
	"Cumberland County, ME"	"23005"	2875
	"Kennebec County, ME"	"23011"	1097
	"Penobscot County, ME"	"23019"	1477
	"York County, ME"	"23031"	1824
	"Unidentified Counties, ME"	"23999"	4252
	"Anne Arundel County, MD"	"24003"	6817
	"Baltimore County, MD"	"24005"	9524
