"Notes"	"County"	"County Code"	Births
	"Madison County, IL"	"17119"	3235
	"Peoria County, IL"	"17143"	2643
	"Rock Island County, IL"	"17161"	1866
	"St. Clair County, IL"	"17163"	3496
	"Sangamon County, IL"	"17167"	2406
	"Tazewell County, IL"	"17179"	1644
	"Will County, IL"	"17197"	8096
	"Winnebago County, IL"	"17201"	3663
	"Unidentified Counties, IL"	"17999"	25549
	"Allen County, IN"	"18003"	5255
	"Delaware County, IN"	"18035"	1291
	"Elkhart County, IN"	"18039"	2975
	"Hamilton County, IN"	"18057"	3886
	"Hendricks County, IN"	"18063"	1805
	"Johnson County, IN"	"18081"	1856
	"Lake County, IN"	"18089"	6179
	"La Porte County, IN"	"18091"	1338
	"Madison County, IN"	"18095"	1548
	"Marion County, IN"	"18097"	14572
	"Monroe County, IN"	"18105"	1286
	"Porter County, IN"	"18127"	1758
	"St. Joseph County, IN"	"18141"	3538
	"Tippecanoe County, IN"	"18157"	2209
	"Vanderburgh County, IN"	"18163"	2259
	"Vigo County, IN"	"18167"	1307
	"Unidentified Counties, IN"	"18999"	30639
	"Black Hawk County, IA"	"19013"	1633
	"Johnson County, IA"	"19103"	1731
	"Linn County, IA"	"19113"	2732
	"Polk County, IA"	"19153"	6504
	"Scott County, IA"	"19163"	2276
	"Woodbury County, IA"	"19193"	1593
	"Unidentified Counties, IA"	"19999"	21745
	"Johnson County, KS"	"20091"	7357
	"Sedgwick County, KS"	"20173"	7818
	"Shawnee County, KS"	"20177"	2466
	"Wyandotte County, KS"	"20209"	2730
	"Unidentified Counties, KS"	"20999"	19271
	"Fayette County, KY"	"21067"	3970
	"Jefferson County, KY"	"21111"	10086
	"Kenton County, KY"	"21117"	2361
	"Unidentified Counties, KY"	"21999"	38953
	"Caddo Parish, LA"	"22017"	3843
	"Calcasieu Parish, LA"	"22019"	2678
	"East Baton Rouge Parish, LA"	"22033"	5995
	"Jefferson Parish, LA"	"22051"	5654
	"Lafayette Parish, LA"	"22055"	3088
	"Orleans Parish, LA"	"22071"	4624
	"Ouachita Parish, LA"	"22073"	2334
	"Rapides Parish, LA"	"22079"	1825
	"St. Tammany Parish, LA"	"22103"	2622
	"Tangipahoa Parish, LA"	"22105"	1851
	"Terrebonne Parish, LA"	"22109"	1649
	"Unidentified Counties, LA"	"22999"	25725
	"Androscoggin County, ME"	"23001"	1358
	"Cumberland County, ME"	"23005"	2688
	"Kennebec County, ME"	"23011"	1182
	"Penobscot County, ME"	"23019"	1450
	"York County, ME"	"23031"	1847
	"Unidentified Counties, ME"	"23999"	4179
	"Anne Arundel County, MD"	"24003"	6814
	"Baltimore County, MD"	"24005"	9888
	"Carroll County, MD"	"24013"	1559
	"Charles County, MD"	"24017"	1835
	"Frederick County, MD"	"24021"	2763
	"Harford County, MD"	"24025"	2700
	"Howard County, MD"	"24027"	3391
	"Montgomery County, MD"	"24031"	13140
	"Prince George's County, MD"	"24033"	12131
	"Washington County, MD"	"24043"	1701
	"Baltimore city, MD"	"24510"	8894
	"Unidentified Counties, MD"	"24999"	8277
	"Barnstable County, MA"	"25001"	1611
	"Berkshire County, MA"	"25003"	1170
	"Bristol County, MA"	"25005"	5793
	"Essex County, MA"	"25009"	8535
	"Hampden County, MA"	"25013"	5588
	"Hampshire County, MA"	"25015"	1082
	"Middlesex County, MA"	"25017"	17568
	"Norfolk County, MA"	"25021"	7325
	"Plymouth County, MA"	"25023"	5105
	"Suffolk County, MA"	"25025"	9687
	"Worcester County, MA"	"25027"	8772
	"Unidentified Counties, MA"	"25999"	930
	"Allegan County, MI"	"26005"	1347
	"Bay County, MI"	"26017"	1136
	"Berrien County, MI"	"26021"	1881
	"Calhoun County, MI"	"26025"	1623
	"Eaton County, MI"	"26045"	1162
